2024-10-03 17:49:02,903 INFO django.utils.autoreload Watching for file changes with StatReloader
2024-10-04 11:16:21,173 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.00, 127.0.0.1:54635]
2024-10-04 11:16:21,315 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.00, 127.0.0.1:54635]
2024-10-04 11:16:21,480 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.00, 127.0.0.1:54635]
2024-10-04 11:16:21,635 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.00, 127.0.0.1:54635]
2024-10-04 11:16:21,782 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.00, 127.0.0.1:54635]
2024-10-04 11:16:21,933 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.00, 127.0.0.1:54635]
2024-10-04 11:16:22,087 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.01, 127.0.0.1:54635]
2024-10-04 11:16:22,255 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.00, 127.0.0.1:54635]
2024-10-04 11:19:00,118 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=null 400 [0.00, 127.0.0.1:54785]
2024-10-04 11:19:00,307 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.00, 127.0.0.1:54787]
2024-10-04 11:19:00,472 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.00, 127.0.0.1:54787]
2024-10-04 11:19:00,637 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.01, 127.0.0.1:54787]
2024-10-04 11:19:00,792 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.01, 127.0.0.1:54787]
2024-10-04 11:19:00,954 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.01, 127.0.0.1:54787]
2024-10-04 11:19:01,148 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.00, 127.0.0.1:54787]
2024-10-04 11:19:01,292 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.01, 127.0.0.1:54787]
2024-10-04 11:19:01,493 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.00, 127.0.0.1:54787]
2024-10-04 11:19:01,624 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.00, 127.0.0.1:54787]
2024-10-04 11:19:01,751 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.00, 127.0.0.1:54787]
2024-10-04 11:19:10,964 INFO django.channels.server HTTP GET /jobs/job-sub-categories/?id=5 200 [0.01, 127.0.0.1:54787]
2024-10-04 11:19:11,111 INFO django.channels.server HTTP GET /jobs/job-sub-categories/?id=2 200 [0.03, 127.0.0.1:54785]
2024-10-04 11:19:11,119 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=null 400 [0.03, 127.0.0.1:54803]
2024-10-04 11:19:11,129 INFO django.channels.server HTTP GET /jobs/job-sub-categories/?id=6 200 [0.04, 127.0.0.1:54802]
2024-10-04 11:19:11,132 INFO django.channels.server HTTP GET /jobs/job-categories/ 200 [0.04, 127.0.0.1:54804]
2024-10-04 11:19:11,135 INFO django.channels.server HTTP GET /jobs/job-sub-categories/?id=5 200 [0.05, 127.0.0.1:54787]
2024-10-04 11:19:11,140 INFO django.channels.server HTTP GET /jobs/job-sub-categories/?id=4 200 [0.05, 127.0.0.1:54801]
2024-10-04 11:19:11,168 INFO django.channels.server HTTP GET /jobs/jobs/ 200 [0.08, 127.0.0.1:54805]
2024-10-04 11:19:11,336 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=null 400 [0.03, 127.0.0.1:54785]
2024-10-04 11:19:11,343 INFO django.channels.server HTTP GET /jobs/job-categories/ 200 [0.03, 127.0.0.1:54809]
2024-10-04 11:19:11,345 INFO django.channels.server HTTP GET /jobs/job-sub-categories/?id=2 200 [0.04, 127.0.0.1:54803]
2024-10-04 11:19:11,346 INFO django.channels.server HTTP GET /jobs/job-sub-categories/?id=4 200 [0.04, 127.0.0.1:54805]
2024-10-04 11:19:11,347 INFO django.channels.server HTTP GET /jobs/job-sub-categories/?id=6 200 [0.04, 127.0.0.1:54808]
2024-10-04 11:19:11,350 INFO django.channels.server HTTP GET /jobs/job-sub-categories/?id=5 200 [0.04, 127.0.0.1:54811]
2024-10-04 11:19:11,402 INFO django.channels.server HTTP GET /jobs/jobs/ 200 [0.04, 127.0.0.1:54813]
2024-10-04 11:19:11,487 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.01, 127.0.0.1:54809]
2024-10-04 11:19:11,489 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=null 400 [0.01, 127.0.0.1:54785]
2024-10-04 11:19:11,494 INFO django.channels.server HTTP GET /jobs/job-sub-categories/?id=2 200 [0.01, 127.0.0.1:54815]
2024-10-04 11:19:11,502 INFO django.channels.server HTTP GET /jobs/job-sub-categories/?id=5 200 [0.01, 127.0.0.1:54817]
2024-10-04 11:19:11,605 INFO django.channels.server HTTP GET /jobs/jobs/ 200 [0.05, 127.0.0.1:54785]
2024-10-04 11:19:11,631 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=null 400 [0.01, 127.0.0.1:54809]
